Xenon tetroxide,XeO4,0.000000,-35.900000,195.000000,12340-14-6,
Xenon,Xe,-108.099000,-111.750000,131.000000,7440-63-3,
Vinylsilane,CH2=CHSiH3,-22.800000,0.000000,58.000000,7291-09-0,
Vinyldifluoroborane,CH2=CHBF2,-38.800000,-133.400000,76.000000,NaN,
Vinyl bromide,CH2=CHBr,15.800000,-137.800000,107.000000,593-60-2,
Tungsten(VI) fluoride,WF6,17.100000,1.900000,294.000000,7783-82-6,
Tritium,T2,-248.120000,-254.540000,6.000000,10028-17-8,
Tris(trifluoromethyl)-amine,(CF3)3N,-6.500000,0.000000,221.000000,432-03-1,
Tris(difluoroamine)fluoromethane,(NF2)3CF,5.600000,-136.900000,187.000000,14362-68-6,
